atome_1,atome_2,distance,icohp-up,icohp-down
Ni59,O94,2.05109,-0.52488,-0.86082
Mn53,O79,23.56697,-0.0,-0.0
Mn52,O100,1.96303,-1.0646,-1.34939
Mn46,O108,1.95816,-1.1125,-1.37275
Mn41,O88,8.58037,-0.00032,-0.0003
Ni60,O94,1.98797,-0.64671,-0.93892
Ni58,O63,2.05937,-0.81406,-0.48531
Mn49,O61,22.26225,-1e-05,-0.0
Mn39,O105,1.97797,-1.06353,-1.28451
Mn44,O66,1.85628,-1.36982,-1.87988
Mn41,O107,1.93672,-1.16374,-1.45638
Mn50,O92,23.63974,-0.0,-0.0
Li36,O77,2.10169,-0.41364,-0.40073
Ni55,O64,2.05923,-0.50075,-0.79164
Mn47,O100,1.93752,-1.17166,-1.48087
Mn45,O67,1.94273,-1.13984,-1.42375
Li3,O86,2.06253,-0.42841,-0.41879
Mn50,O89,1.95638,-1.12549,-1.3962
Mn43,O105,2.00934,-1.00579,-1.1857
Mn48,O78,1.91471,-1.22389,-1.55039
Mn43,O85,1.92599,-1.19621,-1.49982
Li3,O107,9.42242,-4e-05,-5e-05
Ni58,O82,11.23434,-4e-05,-4e-05
Li2,O96,2.23881,-0.32503,-0.31226
Mn48,O120,1.98685,-1.05301,-1.27199
Mn52,O62,23.61756,-3e-05,-1e-05
Li4,O68,2.10026,-0.40924,-0.40004
Mn47,O89,1.97326,-1.06766,-1.30721
Li3,O67,8.38657,-0.00037,-0.00031
Ni55,O104,2.03654,-0.56371,-0.88644
Mn37,O92,2.06458,-0.83146,-0.98436
Ni59,O64,2.08104,-0.50899,-0.77234
Mn54,O95,11.15197,-8e-05,-7e-05
Ni60,O103,2.0353,-0.62284,-0.84172
Mn50,O79,2.01089,-0.97173,-1.16591
Mn49,O101,20.82043,-0.0,-0.0
Mn42,O78,1.945,-1.12886,-1.41
Mn49,O120,1.94699,-1.13163,-1.41535
Ni60,O63,1.89522,-1.05866,-1.14055
Li3,O97,11.20283,-8e-05,-5e-05
Mn40,O96,1.92599,-1.19082,-1.48387
Mn44,O74,1.92308,-1.23279,-1.53109
Mn53,O61,1.97368,-1.04553,-1.28264
Mn37,O102,2.02281,-0.94673,-1.14041
Ni58,O93,2.11722,-0.71879,-0.43471
Mn49,O80,1.89941,-1.30016,-1.65326
Ni58,O112,9.31574,-3e-05,-2e-05
Li2,O113,2.01643,-0.44183,-0.43766
Mn54,O84,1.94582,-1.1196,-1.46297
Mn38,O65,2.01397,-0.96585,-1.16425
Mn51,O119,2.1289,-0.44188,-0.91426
Mn53,O101,1.94292,-1.15631,-1.43431
Ni57,O94,1.92823,-0.82383,-1.06965
Mn45,O98,1.94719,-1.14004,-1.41865
Mn41,O77,1.95205,-1.12322,-1.39751
Li1,O82,2.02517,-0.46762,-0.47285
Li5,O78,2.11709,-0.40478,-0.39217
Li36,O110,2.03015,-0.45101,-0.43988
Mn52,O80,1.97456,-1.04687,-1.30085
Mn37,O112,1.86503,-1.3969,-1.86533
Mn41,O69,1.95967,-1.11278,-1.36369
Mn50,O119,1.98261,-1.03008,-1.28568
Li1,O102,2.13364,-0.37588,-0.3609
Ni55,O84,2.06468,-0.48094,-0.75859
Li5,O69,8.36915,-0.00046,-0.00044
Mn49,O91,20.50045,-1e-05,-0.0
Li36,O70,2.10923,-0.39921,-0.38914
Mn38,O84,8.51714,-0.00041,-0.00035
Li36,O100,2.06357,-0.4241,-0.41526
Mn48,O70,1.91157,-1.23761,-1.56185
Mn42,O70,1.95407,-1.1231,-1.38976
Ni57,O104,2.07029,-0.50166,-0.87227
Mn37,O81,2.06815,-0.8534,-1.01398
Mn38,O73,1.95952,-1.07726,-1.33318
Li3,O76,2.10276,-0.40332,-0.39137
Li1,O91,8.4088,-0.00018,-0.00023
Li5,O109,9.406,-6e-05,-7e-05
Mn51,O61,23.57875,-0.0,-0.0
Mn47,O77,1.91754,-1.22575,-1.54416
Ni58,O103,2.08269,-0.75771,-0.44678
Mn45,O117,1.9449,-1.14538,-1.42636
Ni57,O74,1.99679,-0.70052,-0.89461
Li36,O117,2.09852,-0.41435,-0.40684
Mn37,O64,1.89391,-1.31315,-1.68502
Mn54,O74,2.17303,-0.42772,-0.8575
Mn43,O73,1.90674,-1.24804,-1.59611
Ni56,O82,8.67096,-0.00029,-0.00032
Li5,O99,11.19518,-0.0001,-6e-05
Mn46,O97,8.57222,-0.00038,-0.00044
Ni59,O111,2.10163,-0.45879,-0.68819
Li1,O112,2.05851,-0.45515,-0.45304
Mn52,O89,2.1451,-0.3955,-0.85449
Mn44,O116,1.96906,-1.07878,-1.32887
Ni56,O101,2.20432,-0.32526,-0.53814
Ni59,O71,2.03729,-0.51524,-0.83391
Ni57,O83,1.8933,-1.03052,-1.10976
Ni60,O113,2.06773,-0.49304,-0.76262
Mn46,O68,1.92038,-1.20226,-1.52123
Mn40,O106,1.92647,-1.19647,-1.48303
Mn45,O75,1.94671,-1.14202,-1.41484
Li4,O115,2.07179,-0.42262,-0.4144
Li2,O66,2.01221,-0.4559,-0.44978
Ni59,O104,2.00256,-0.57613,-0.93757
Mn47,O119,1.97894,-1.05608,-1.30294
Mn37,O72,1.85259,-1.46211,-1.88486
Li4,O98,2.0862,-0.4303,-0.41999
Li1,O62,2.1315,-0.38711,-0.3749
Ni55,O72,2.1051,-0.45083,-0.71018
