atome_1,atome_2,distance,icohp-up,icohp-down
Ni41,O112,2.06913,-0.42554,-0.8275
Ni49,O64,1.91403,-0.88736,-1.09941
Co36,O110,1.87925,-1.17066,-1.37234
Mn31,O116,1.96518,-1.14242,-1.36315
Ni45,O120,2.04375,-0.55383,-0.84249
Co36,O70,1.91667,-1.10528,-1.21193
Ni57,O111,1.89098,-0.97166,-1.12895
Ni45,O110,1.97509,-0.59152,-0.91761
Ni39,O68,2.04951,-0.47667,-0.8155
Ni37,O66,2.10126,-0.45115,-0.71742
Co36,O100,1.89342,-1.1216,-1.25001
Ni57,O81,1.93735,-0.90016,-1.02734
Ni59,O107,1.9352,-0.82235,-1.06009
Mn32,O74,1.99462,-1.01682,-1.22082
Ni57,O104,1.91144,-0.95106,-1.09552
Ni37,O83,2.03184,-0.53529,-0.87726
Ni48,O103,2.08507,-0.40356,-0.77968
Ni46,O61,1.8882,-0.98858,-1.1324
Ni58,O83,2.10978,-0.41853,-0.75882
Mn32,O114,1.89168,-1.27473,-1.66616
Ni53,O90,2.04908,-0.46883,-0.8149
Ni51,O87,2.05291,-0.48659,-0.7893
Ni59,O97,2.03016,-0.54884,-0.89615
Co36,O117,1.89946,-1.11318,-1.28191
Ni40,O71,1.88465,-1.00338,-1.15113
Ni49,O72,2.11448,-0.3768,-0.71473
Ni56,O82,1.90397,-1.07646,-1.09275
Co35,O109,1.9337,-0.77583,-1.26319
Ni40,O91,1.91714,-0.94851,-1.09368
Ni48,O83,1.87583,-1.05683,-1.18141
Ni56,O72,1.88972,-1.09426,-1.11087
Ni53,O120,2.04159,-0.48627,-0.83205
Ni41,O102,1.92243,-0.97383,-1.08545
Ni58,O96,2.11042,-0.44739,-0.77041
Co34,O98,2.0184,-0.57704,-1.14854
Ni43,O117,1.95086,-0.76714,-1.00064
Ni39,O85,1.95588,-0.76179,-1.0185
Ni55,O79,1.91211,-0.93527,-1.07417
Ni53,O78,2.06848,-0.50797,-0.80475
Ni40,O101,2.09153,-0.42722,-0.78188
Ni47,O62,2.05173,-0.54186,-0.83763
Ni51,O117,2.06033,-0.47577,-0.77411
Ni48,O113,1.93216,-0.922,-1.07415
Mn33,O85,1.95075,-1.16877,-1.41429
Ni44,O109,2.0729,-0.46314,-0.78057
