atome_1,atome_2,distance,icohp-up,icohp-down
Mn48,O87,1.93903,-1.15106,-1.43502
Mn37,O65,1.91207,-1.22075,-1.58049
Ni51,O103,2.05021,-0.50476,-0.82517
Li6,O80,2.04139,-0.43707,-0.42459
Ni59,O84,1.93095,-0.8916,-1.05424
Ni53,O101,2.03004,-0.48859,-0.90024
Ni50,O72,2.03474,-0.52659,-0.84035
Mn41,O77,1.94494,-1.13461,-1.41604
Li6,O120,2.10561,-0.41224,-0.39829
Mn41,O69,1.93136,-1.16826,-1.46294
Mn37,O105,1.9359,-1.20056,-1.49105
Ni49,O91,2.0442,-0.52472,-0.83416
Li2,O85,2.0843,-0.42446,-0.41191
Li6,O110,2.09567,-0.41602,-0.40774
Mn48,O70,1.94051,-1.15777,-1.4379
Mn42,O70,1.93126,-1.16894,-1.46735
Ni56,O104,2.03933,-0.52083,-0.8641
Li1,O95,2.05838,-0.43717,-0.42937
Li5,O109,2.09509,-0.41563,-0.40646
Ni60,O106,1.86971,-1.13944,-1.1391
Mn38,O86,1.91621,-1.22839,-1.53058
Ni54,O82,1.91255,-0.64965,-1.19079
Ni60,O66,1.87482,-1.13077,-1.13862
Li5,O99,2.09324,-0.41647,-0.40943
Ni49,O63,2.04181,-0.51266,-0.8228
Mn44,O92,1.9467,-1.1529,-1.44725
Mn38,O74,1.92312,-1.2065,-1.54899
Ni58,O104,1.85498,-1.16967,-1.18485
Li6,O89,2.0943,-0.40531,-0.3973
Ni56,O72,1.94204,-0.86404,-1.03539
Mn44,O102,1.9239,-1.19362,-1.51755
Mn41,O119,1.93353,-1.17065,-1.45924
Ni58,O94,1.86436,-1.15998,-1.17452
Ni60,O113,1.89231,-1.06594,-1.09887
Ni57,O93,1.87195,-1.14712,-1.16464
Ni55,O71,1.93813,-0.89559,-1.04683
Mn40,O88,1.9299,-1.17731,-1.47678
Li3,O69,2.07804,-0.42224,-0.41135
Ni54,O62,1.8873,-0.66365,-1.32824
Ni59,O114,1.89713,-0.99119,-1.11888
Mn46,O68,1.9416,-1.15057,-1.42907
Mn41,O109,1.94104,-1.15261,-1.43497
Ni52,O104,2.04135,-0.49502,-0.83754
Ni50,O81,2.05656,-0.50595,-0.82657
Li4,O98,2.07886,-0.41783,-0.40849
